State,"DTF score,
2018
(4 indicators)",Trend,"Average
DTF score,
2014
(4 indicators)",Starting a business (Rank),Starting a business (Score),"Dealing with
construction permits (Rank)","Dealing with
construction permits (Score)",Registering property (Rank),Registering property (Score),Enforcing contracts (Rank),Enforcing contracts (Score),,,,,,,,,,,,,,
Abia,53.9,ñ,48.24,16,77.1,13,72.72,34,17.67,32,48.11,,,,,,,,,,,,,,
Adamawa,54.34,ñ,52.83,36,71.96,9,73.63,23,23.93,33,47.84,,,,,,,,,,,,,,
Akwa Ibom,55.66,ñ,53.41,21,76.17,18,71.31,26,21.46,24,53.7,,,,,,,,,,,,,,
Anambra,53.5,ñ,48.6,19,76.69,21,70.18,32,19.33,34,47.8,,,,,,,,,,,,,,
Bauchi,60.6,ñ,56.85,22,76.06,5,74.1,15,28.26,2,63.99,,,,,,,,,,,,,,
Bayelsa,57.76,ñ,54.55,27,75.35,12,72.93,21,24.31,12,58.46,,,,,,,,,,,,,,
Benue,58.21,ñ,55.78,23,75.91,19,71.03,12,30.62,21,55.26,,,,,,,,,,,,,,
Borno,60.55,ñ,56.96,13,77.66,16,71.81,13,29.73,4,62.97,,,,,,,,,,,,,,
Cross River,49.02,ò,52.67,31,74.45,6,73.96,37,0,35,47.69,,,,,,,,,,,,,,
Delta,54.97,ñ,51.73,14,77.46,32,63.14,20,25.09,23,54.18,,,,,,,,,,,,,,
Ebonyi,51.16,ñ,50.19,32,74.36,31,63.44,24,22.56,36,44.28,,,,,,,,,,,,,,
Edo,55.19,ñ,52.91,30,74.69,29,64.07,29,21.15,8,60.83,,,,,,,,,,,,,,
Ekiti,56.81,ñ,53.89,24,75.58,4,74.76,19,25.62,28,51.29,,,,,,,,,,,,,,
Enugu,56.82,ñ,48.79,3,81.7,28,65.32,9,31.63,31,48.62,,,,,,,,,,,,,,
FCT Abuja,59.85,ñ,56.57,1,85.61,27,65.83,4,36.45,27,51.49,,,,,,,,,,,,,,
Gombe,59.58,ò,59.87,26,75.37,15,72.27,6,33.86,17,56.82,,,,,,,,,,,,,,
Imo,51.21,ñ,48.84,34,73.16,23,69.12,33,19.32,37,43.25,,,,,,,,,,,,,,
Jigawa,64.36,ñ,62.2,9,78.43,3,79.06,3,36.79,3,63.14,,,,,,,,,,,,,,
Kaduna,65.97,ñ,54.76,5,81.43,17,71.63,1,45.72,1,65.1,,,,,,,,,,,,,,
Kano,63.01,ñ,58.78,7,79.73,2,79.38,7,32.73,10,60.2,,,,,,,,,,,,,,
Katsina,62.68,ñ,59.31,6,80.14,10,73.52,5,34.1,5,62.94,,,,,,,,,,,,,,
Kebbi,57.06,ñ,55.5,20,76.38,14,72.37,35,17.09,6,62.4,,,,,,,,,,,,,,
Kogi,57.72,ñ,55.07,28,75.21,22,69.84,14,29.27,18,56.56,,,,,,,,,,,,,,
Kwara,54.68,ñ,52.73,29,74.84,26,67.6,18,25.73,30,50.54,,,,,,,,,,,,,,
Lagos,54.9,ñ,49.52,2,83.67,37,51.37,16,27.73,16,56.84,,,,,,,,,,,,,,
Nasarawa,55.4,ò,55.58,10,78.35,34,61.12,22,24.04,14,58.09,,,,,,,,,,,,,,
Niger,60.87,ñ,58.65,17,76.94,1,79.71,11,30.65,19,56.16,,,,,,,,,,,,,,
Ogun,57.97,ñ,55.01,4,81.69,11,73.11,28,21.21,20,55.89,,,,,,,,,,,,,,
Ondo,56.74,ñ,54.59,37,71.04,8,73.89,27,21.28,9,60.74,,,,,,,,,,,,,,
Osun,55.07,ñ,54.5,35,72.48,24,68.56,31,19.77,11,59.46,,,,,,,,,,,,,,
Oyo,53.41,ñ,52.64,18,76.76,33,61.35,25,22.11,25,53.41,,,,,,,,,,,,,,
Plateau,55.07,ñ,54.29,25,75.48,30,63.71,17,26.57,22,54.51,,,,,,,,,,,,,,
Rivers,50.58,ñ,48.14,8,79.47,36,53.21,36,16.31,26,53.34,,,,,,,,,,,,,,
Sokoto,56.35,ñ,54.66,33,73.8,7,73.95,30,20.37,15,57.27,,,,,,,,,,,,,,
Taraba,57.7,ñ,55.14,12,77.91,20,70.55,10,31.23,29,51.1,,,,,,,,,,,,,,
Yobe,60.02,ñ,58.26,11,78.05,25,68.34,8,32.42,7,61.27,,,,,,,,,,,,,,
Zamfara,57.78,ò,59.12,15,77.11,35,58.26,2,37.39,13,58.37,,,,,,,,,,,,,,
