State,Rank,"Distance tofrontier score (0–100)","Procedures (Bussines start)","Time (days - Bussines start)","Bussines start Cost (% of income per capita)",,,,,
FCT Abuja,1,85.61,7,10,25.4,,,,,
Lagos,2,83.67,8,10,29.2,,,,,
Enugu,3,81.7,9,11,31.2,,,,,
Ogun,4,81.69,8,18,29,,,,,
Kaduna,5,81.43,9,13,29.3,,,,,
Katsina,6,80.14,8,24,29.3,,,,,
Kano,7,79.73,10,14,29.1,,,,,
Rivers,8,79.47,10,15,29.2,,,,,
Jigawa,9,78.43,9,24,31.2,,,,,
Nasarawa,10,78.35,10,19,30.1,,,,,
Yobe,11,78.05,10,22,26.5,,,,,
Taraba,12,77.91,9,28,27.3,,,,,
Borno,13,77.66,9,28,29.3,,,,,
Delta,14,77.46,9,28,31,,,,,
Zamfara,15,77.11,10,26,26,,,,,
Abia,16,77.1,10,25,28.1,,,,,
Niger,17,76.94,10,25,29.3,,,,,
Oyo,18,76.76,9,28,36.6,,,,,
Anambra,19,76.69,10,26,29.3,,,,,
Kebbi,20,76.38,10,30,23.8,,,,,
Akwa Ibom,21,76.17,10,29,27.5,,,,,
Bauchi,22,76.06,10,30,26.4,,,,,
Benue,23,75.91,9,36,27.3,,,,,
Ekiti,24,75.58,11,25,28.4,,,,,
Plateau,25,75.48,11,26,27.3,,,,,
Gombe,26,75.37,11,18,44.2,,,,,
Bayelsa,27,75.35,11,26,28.3,,,,,
Kogi,28,75.21,11,28,25.4,,,,,
Kwara,29,74.84,11,28,28.4,,,,,
Edo,30,74.69,10,36,25.2,,,,,
Cross River,31,74.45,11,30,27.4,,,,,
Ebonyi,32,74.36,11,30,28.2,,,,,
Sokoto,33,73.8,11,30,32.6,,,,,
Imo,34,73.16,11,34,29.7,,,,,
Osun,35,72.48,11,37,29.2,,,,,
Adamawa,36,71.96,10,45,29,,,,,
Ondo,37,71.04,12,37,28.9,,,,,
