State,"Building quality control index (0–15)","Quality of building regulations (0–2)","Quality control before construction (0–1)","Quality control during construction (0–3)","Quality control after construction (0–3)","Liability and insurance regimes (0–2)","Professional certifications (0–4)",
Lagos,12,2,1,2,3,0,4,
Kano,11,2,1,2,2,0,4,
Niger,10.5,0.5,1,2,3,0,4,
Ogun,10,1,1,1,3,0,4,
Abia,9.5,1.5,1,1,2,0,4,
Akwa Ibom,9.5,1.5,1,1,2,0,4,
Bauchi,9.5,1.5,1,1,2,0,4,
Borno,9.5,1.5,1,1,2,0,4,
Enugu,9.5,1.5,1,1,2,0,4,
Jigawa,9.5,0.5,1,1,3,0,4,
Cross River,9,0,1,1,3,0,4,
FCT Abuja,9,0,1,2,2,0,4,
Gombe,9,0,1,1,3,0,4,
Plateau,9,1,1,1,2,0,4,
Benue,8.5,0.5,1,1,2,0,4,
Ekiti,8.5,0.5,1,1,2,0,4,
Kaduna,8.5,0.5,1,1,2,0,4,
Kebbi,8.5,0.5,1,1,2,0,4,
Rivers,8.5,0.5,1,1,2,0,4,
Zamfara,8.5,0.5,1,1,2,0,4,
Adamawa,8,0,1,1,2,0,4,
Anambra,8,0,1,1,2,0,4,
Bayelsa,8,0,1,1,2,0,4,
Ebonyi,8,0,1,1,2,0,4,
Imo,8,0,1,1,2,0,4,
Katsina,8,0,1,1,2,0,4,
Kogi,8,0,1,1,2,0,4,
Nasarawa,8,0,1,1,2,0,4,
Ondo,8,0,1,1,2,0,4,
Taraba,8,0,1,1,2,0,4,
Yobe,8,0,1,1,2,0,4,
Kwara,7.5,1.5,1,1,0,0,4,
Sokoto,7,0,1,0,2,0,4,
Osun,5.5,0.5,1,0,0,0,4,
Oyo,5.5,0.5,0,1,2,0,2,
Delta,5,0,0,1,2,0,2,
Edo,3.5,0.5,0,1,0,0,2,
